10-10 10-5 First Click,10-10 10-5 Last Click,10-10 10-5 Page Submit,10-10 10-5 Click Count,10-5 10-10 First Click,10-5 10-10 Last Click,10-5 10-10 Page Submit,10-5 10-10 Click Count,10-10 10-15 First Click,10-10 10-15 Last Click,10-10 10-15 Page Submit,10-10 10-15 Click Count,10-15 10-10 First Click,10-15 10-10 Last Click,10-15 10-10 Page Submit,10-15 10-10 Click Count,10-10 15-5 First Click,10-10 15-5 Last Click,10-10 15-5 Page Submit,10-10 15-5 Click Count,15-5 10-10 First Click,15-5 10-10 Last Click,15-5 10-10 Page Submit,15-5 10-10 Click Count,10-10 15-20 First Click,10-10 15-20 Last Click,10-10 15-20 Page Submit,10-10 15-20 Click Count,15-20 10-10 First Click,15-20 10-10 Last Click,15-20 10-10 Page Submit,15-20 10-10 Click Count,ResponseID
nan,nan,nan,nan,3.183,15.583,16.203,4.0,nan,nan,nan,nan,8.957,9.851,10.5,2.0,nan,nan,nan,nan,7.771,30.331,31.25,5.0,nan,nan,nan,nan,8.873,9.501,11.001,2.0,R_2QM0bQbYlaovgRp
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_4mOWjelBH4Vto5Z
nan,nan,nan,nan,12.596,13.354,16.544,2.0,nan,nan,nan,nan,12.795,16.871,19.161,3.0,nan,nan,nan,nan,12.162,24.628,25.107,4.0,nan,nan,nan,nan,6.619,13.946,15.605,4.0,R_5bD4zSMLPIo8AAV
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_2F50PZhQmUBruD7
3.98,8.764,9.663,3.0,nan,nan,nan,nan,11.186,16.519,17.102,2.0,nan,nan,nan,nan,11.867,18.297,18.6,3.0,nan,nan,nan,nan,10.496,11.106,11.803,2.0,nan,nan,nan,nan,R_8uJ5weCOISYfawC
nan,nan,nan,nan,5.279,13.702,14.402,8.0,6.832,9.801,10.601,3.0,nan,nan,nan,nan,7.071,14.048,14.801,4.0,nan,nan,nan,nan,0.966,9.4,10.301,9.0,nan,nan,nan,nan,R_4DoJ9P0pthy7nS1
nan,nan,nan,nan,2.484,11.122,11.911,5.0,nan,nan,nan,nan,1.532,12.903,14.075,4.0,nan,nan,nan,nan,1.263,6.501,7.701,4.0,nan,nan,nan,nan,1.701,8.933,10.139,4.0,R_1I498WOAR9PuYLe
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_2FKTHNU32rHLgqt
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_1LtfTJsrBxBBICb
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_2xLwVKP26AGuTgh
